realtime_start,realtime_end,date,value
2024-05-29,2024-05-29,1978-02-01,63.0
2024-05-29,2024-05-29,1978-03-01,63.4
2024-05-29,2024-05-29,1978-04-01,63.9
2024-05-29,2024-05-29,1978-05-01,64.5
2024-05-29,2024-05-29,1978-06-01,65.0
2024-05-29,2024-05-29,1978-07-01,65.5
2024-05-29,2024-05-29,1978-08-01,65.9
2024-05-29,2024-05-29,1978-09-01,66.5
2024-05-29,2024-05-29,1978-10-01,67.1
2024-05-29,2024-05-29,1978-11-01,67.5
2024-05-29,2024-05-29,1978-12-01,67.9
2024-05-29,2024-05-29,1979-01-01,68.5
2024-05-29,2024-05-29,1979-02-01,69.2
2024-05-29,2024-05-29,1979-03-01,69.9
2024-05-29,2024-05-29,1979-04-01,70.6
2024-05-29,2024-05-29,1979-05-01,71.4
2024-05-29,2024-05-29,1979-06-01,72.2
2024-05-29,2024-05-29,1979-07-01,73.0
2024-05-29,2024-05-29,1979-08-01,73.7
2024-05-29,2024-05-29,1979-09-01,74.4
2024-05-29,2024-05-29,1979-10-01,75.2
2024-05-29,2024-05-29,1979-11-01,76.0
2024-05-29,2024-05-29,1979-12-01,76.9
2024-05-29,2024-05-29,1980-01-01,78.0
2024-05-29,2024-05-29,1980-02-01,79.0
2024-05-29,2024-05-29,1980-03-01,80.1
2024-05-29,2024-05-29,1980-04-01,80.9
2024-05-29,2024-05-29,1980-05-01,81.7
2024-05-29,2024-05-29,1980-06-01,82.5
2024-05-29,2024-05-29,1980-07-01,82.6
2024-05-29,2024-05-29,1980-08-01,83.2
2024-05-29,2024-05-29,1980-09-01,83.9
2024-05-29,2024-05-29,1980-10-01,84.7
2024-05-29,2024-05-29,1980-11-01,85.6
2024-05-29,2024-05-29,1980-12-01,86.4
2024-05-29,2024-05-29,1981-01-01,87.2
2024-05-29,2024-05-29,1981-02-01,88.0
2024-05-29,2024-05-29,1981-03-01,88.6
2024-05-29,2024-05-29,1981-04-01,89.1
2024-05-29,2024-05-29,1981-05-01,89.7
2024-05-29,2024-05-29,1981-06-01,90.5
2024-05-29,2024-05-29,1981-07-01,91.5
2024-05-29,2024-05-29,1981-08-01,92.2
2024-05-29,2024-05-29,1981-09-01,93.1
2024-05-29,2024-05-29,1981-10-01,93.4
2024-05-29,2024-05-29,1981-11-01,93.8
2024-05-29,2024-05-29,1981-12-01,94.1
2024-05-29,2024-05-29,1982-01-01,94.4
2024-05-29,2024-05-29,1982-02-01,94.7
2024-05-29,2024-05-29,1982-03-01,94.7
2024-05-29,2024-05-29,1982-04-01,95.0
2024-05-29,2024-05-29,1982-05-01,95.9
2024-05-29,2024-05-29,1982-06-01,97.0
2024-05-29,2024-05-29,1982-07-01,97.5
2024-05-29,2024-05-29,1982-08-01,97.7
2024-05-29,2024-05-29,1982-09-01,97.7
2024-05-29,2024-05-29,1982-10-01,98.1
2024-05-29,2024-05-29,1982-11-01,98.0
2024-05-29,2024-05-29,1982-12-01,97.7
2024-05-29,2024-05-29,1983-01-01,97.9
2024-05-29,2024-05-29,1983-02-01,98.0
2024-05-29,2024-05-29,1983-03-01,98.1
2024-05-29,2024-05-29,1983-04-01,98.8
2024-05-29,2024-05-29,1983-05-01,99.2
2024-05-29,2024-05-29,1983-06-01,99.4
2024-05-29,2024-05-29,1983-07-01,99.8
2024-05-29,2024-05-29,1983-08-01,100.1
2024-05-29,2024-05-29,1983-09-01,100.4
2024-05-29,2024-05-29,1983-10-01,100.8
2024-05-29,2024-05-29,1983-11-01,101.1
2024-05-29,2024-05-29,1983-12-01,101.4
2024-05-29,2024-05-29,1984-01-01,102.1
2024-05-29,2024-05-29,1984-02-01,102.6
2024-05-29,2024-05-29,1984-03-01,102.9
2024-05-29,2024-05-29,1984-04-01,103.3
2024-05-29,2024-05-29,1984-05-01,103.5
2024-05-29,2024-05-29,1984-06-01,103.7
2024-05-29,2024-05-29,1984-07-01,104.1
2024-05-29,2024-05-29,1984-08-01,104.4
2024-05-29,2024-05-29,1984-09-01,104.7
2024-05-29,2024-05-29,1984-10-01,105.1
2024-05-29,2024-05-29,1984-11-01,105.3
2024-05-29,2024-05-29,1984-12-01,105.5
2024-05-29,2024-05-29,1985-01-01,105.7
2024-05-29,2024-05-29,1985-02-01,106.3
2024-05-29,2024-05-29,1985-03-01,106.8
2024-05-29,2024-05-29,1985-04-01,107.0
2024-05-29,2024-05-29,1985-05-01,107.2
2024-05-29,2024-05-29,1985-06-01,107.5
2024-05-29,2024-05-29,1985-07-01,107.7
